Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983/08/31,23217
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,"Dublin, Ohio",1997/05/27,721371
CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",,18230
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010/07/15,896159
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017/03/01,1374310
CBRE,CBRE Group,reports,Real Estate,Real Estate Services,"Los Angeles, California",2006/11/10,1138118
CCI,Crown Castle International Corp.,reports,Real Estate,Specialized REITs,"Houston, Texas",2012/03/14,1051470
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998/12/22,815097
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",2017/09/18,813672
CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019/09/23,1402057
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",2018/12/24,1306830
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",2010/04/30,804753
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008/08/27,1324404
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",2016/01/29,759944
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",2015/12/29,313927
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007/03/02,1043277
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016/09/08,1091667
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976/06/30,701221
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997/12/18,20286
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",,21665
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",1969/03/31,21076
CMA,Comerica Inc.,reports,Financials,Diversified Banks,"Dallas, Texas",1995/12/01,28412
CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2015/09/18,1166691
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006/08/11,1156375
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",2011/04/28,1058090
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",1965/03/31,26172
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",1999/05/03,811156
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St Louis, Missouri",2016/03/30,1071739
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",1985/07/31,1130310
COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",1998/07/01,927628
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008/06/23,858470
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"Pleasanton, California",2016/09/23,711404
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165
COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993/10/01,909832
COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,"New York, New York",2016/10/03,1024305
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732
CPRI,Capri Holdings,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013/11/13,1530721
CPRT,Copart Inc,reports,Industrials,Diversified Support Services,"Dallas, Texas",2018/07/02,900075
CRM,Salesforce.com,reports,Information Technology,Application Software,"San Francisco, California",2008/09/15,1108524
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",1993/12/01,858877
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",1967/09/30,277948
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",2001/03/01,723254
CTL,CenturyLink Inc,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",1999/03/25,18926
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006/11/17,1058290
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019/06/03,1755672
CTXS,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",1999/12/01,877890
CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,93410
CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2016/02/22,1358071
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957
DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,"Atlanta, Georgia",2013/09/11,27904
DD,DuPont de Nemours Inc,reports,Materials,Specialty Chemicals,"Midland, Michigan",,1666700
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,315189
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",2007/07/02,1393612
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012/12/03,29534
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Madison, New Jersey",2002/12/12,1022079
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184
DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616
DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",1976/06/30,1001039
DISCA,Discovery Inc. Class A,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",2010/03/01,1437107
DISCK,Discovery Inc. Class C,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",2014/08/07,1437107
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",2017/03/13,1001082
DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,"San Francisco, California",2016/05/18,1297996
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011/12/19,935703
DOV,Dover Corp.,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985/10/31,29905
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,"Midland, Michigan",2019/04/01,1751788
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017/07/26,783280
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944
DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,"Detroit, Michigan",,936340
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",1976/06/30,1326160
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",2008/07/31,927066
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000/08/30,1090012
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017/04/04,1688568
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002/07/22,712515
EBAY,eBay Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",1989/01/31,31462
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",,1047862
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997/06/19,33185
EIX,Edison Int'l,reports,Utilities,Electric Utilities,"Rosemead, California",,827052
EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,"New York, New York",2006/01/05,1001250
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994/01/01,915389
EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965/03/31,32604
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000/11/02,821189
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",2015/03/20,1101239
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",2001/12/03,906107
ES,Eversource Energy,reports,Utilities,Multi-Utilities,"Springfield, Massachusetts",,72741
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"Palo Alto, California",2014/04/02,920522
ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,"New York, New York",2004/03/31,1015780
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984
EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",2018/06/05,1711269
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",2011/04/01,1099800
EXC,Exelon Corp.,reports,Utilities,Multi-Utilities,"Chicago, Illinois",,1109357
EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",2007/10/10,746515
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",2007/10/02,1324424
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016/01/19,1289490
F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018/12/03,1539838
FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",2009/09/15,815556
FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,"Menlo Park, California",2013/12/23,1326801
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",2016/06/22,1519751
FCX,Freeport-McMoRan Inc.,reports,Materials,Copper,"Phoenix, Arizona",,831259
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980/12/31,1048911
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,"Akron, Ohio",,1031296
FFIV,F5 Networks,reports,Information Technology,Communications Equipment,"Seattle, Washington",2010/12/20,1048695
FIS,Fidelity National Information Services,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",2006/11/10,1136893
FISV,Fiserv Inc,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",2001/04/02,798354
FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,"Cincinnati, Ohio",,35527
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",2009/01/02,354908
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",2008/10/02,30625
FLT,FleetCor Technologies Inc,reports,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",2018/06/20,1175454
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009/08/19,37785
FOX,Fox Corporation Class B,reports,Communication Services,Movies & Entertainment,"New York, New York",2015/09/18,1308161
FOXA,Fox Corporation Class A,reports,Communication Services,Movies & Entertainment,"New York, New York",2013/07/01,1308161
FRC,First Republic Bank,reports,Financials,Regional Banks,"San Francisco, California",2019/01/02,1132979
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",2016/02/01,34903
FTI,TechnipFMC,reports,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",2009/06/05,1681459
FTNT,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",2018/10/11,1262039
FTV,Fortive Corp,reports,Industrials,Industrial Machinery,"Everett, Washington",2016/07/01,1659166
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",2004/07/01,882095
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969/03/31,40704
GL,Globe Life Inc.,reports,Financials,Life & Health Insurance,"McKinney, Texas",1989/04/30,320335
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",,24741
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013/06/06,1467858
GOOG,Alphabet Inc Class C,reports,Communication Services,Interactive Media & Services,"Mountain View, California",2006/04/03,1652044
GOOGL,Alphabet Inc Class A,reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014/04/03,1652044
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1973/12/31,40987
GPN,Global Payments Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2016/04/25,1123360
GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",1986/08/31,39911
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012/12/12,1121788
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,"New York, New York",2002/07/22,886982
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",1981/06/30,277135
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984/09/30,46080
HBAN,Huntington Bancshares,reports,Financials,Regional Banks,"Columbus, Ohio",,49196
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",2015/03/20,1359841
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",2015/01/27,860730
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988/03/31,354950
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",1984/05/31,4447
HFC,HollyFrontier Corp,reports,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",2018/06/18,48039
HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",2018/01/03,1501585
HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017/06/19,1585689
HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016/03/30,859737
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",1964/03/31,773840
HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",2010/03/01,46765
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",2015/11/02,1645590
HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974/12/31,47217
HRB,H&R Block,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",1986/11/30,12659
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009/03/04,48465
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",2015/03/17,1000228
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007/03/20,1070750
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",,51143
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007/09/26,1571949
IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",2017/01/05,874716
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",2019/08/09,832101
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",1976/03/31,51253
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",2015/11/19,1110803
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",2017/02/28,879169
INFO,IHS Markit Ltd.,reports,Industrials,Research & Consulting Services,"London, United Kingdom",2017/06/02,1598014
INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",1976/12/31,50863
INTU,Intuit Inc.,reports,Information Technology,Application Software,"Mountain View, California",2000/12/05,896878
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",,51434
IPG,Interpublic Group,reports,Communication Services,Advertising,"New York, New York",1992/10/01,51644
IPGP,IPG Photonics Corp.,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",2018/03/07,1111928
IQV,IQVIA Holdings Inc.,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017/08/29,1478242
IR,Ingersoll-Rand PLC,reports,Industrials,Industrial Machinery,"Dublin, Ireland",2010/11/17,1466258
IRM,Iron Mountain Incorporated,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2009/01/06,1020569
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,"Sunnyvale, California",2008/06/02,1035267
IT,Gartner Inc,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017/04/05,749251
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",1986/02/28,49826
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008/08/21,914208
J,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Pasadena, California",2007/10/26,52988
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",2015/07/01,728535
JCI,Johnson Controls International,reports,Industrials,Building Products,"Cork, Ireland",2010/08/27,833444
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018/11/13,779152
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973/06/30,200406
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",,1043604
JPM,JPMorgan Chase & Co.,reports,Financials,Diversified Banks,"New York, New York",1975/06/30,19617
JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",1986/08/31,72333
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067
KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",1994/03/01,91576
KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018/11/06,1601046
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015/07/06,1637459
KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",2006/04/04,879101
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",,55785
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012/05/25,1506307
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010/06/28,1170010
KO,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",2013/05/24,54480
L,Loews Corp.,reports,Financials,Multi-line Insurance,"New York, New York",,60086
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",1983/09/30,701985
LDOS,Leidos Holdings,reports,Information Technology,IT Consulting & Other Services,"Reston, Virginia",2019/08/09,1336920
LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",2005/10/04,920760
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Services,"Burlington, North Carolina",2004/11/01,920148
LHX,L3Harris Technologies,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",,202058
LIN,Linde plc,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",1992/07/01,1707925
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",2016/05/23,1065696
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970/12/31,59478
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984/07/31,936468
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976/06/30,59558
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,"Madison, Wisconsin",2016/07/01,352541
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984/02/29,60667
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",2012/06/29,707549
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",1994/07/01,92380
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019/10/03,1300514
LW,Lamb Weston Holdings Inc,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018/12/03,1679273
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012/09/05,1489393
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019/12/23,1335258
M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367
MA,Mastercard Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008/07/18,1141391
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",2016/12/02,912595
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286
MAS,Masco Corp.,reports,Industrials,Building Products,"Taylor, Michigan",1981/06/30,62996
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970/06/30,63908
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",2007/09/07,827054
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"Irving, Texas",,927653
MCO,Moody's Corp,reports,Financials,Financial Exchanges & Data,"New York, New York",,1059556
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois",2012/10/02,1103982
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",1986/10/31,1613103
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",,1099219
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017/07/26,789570
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",2013/12/23,851968
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York, New York",2019/07/01,1278021
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",2014/07/02,916076
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",1987/08/31,62709
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",2012/06/28,865752
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",2011/09/26,1285785
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011/07/01,1510295
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991/05/01,101778
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York, New York",,895421
